,Match ID,Player ID,Rank,Rank Gain,Team,K,D,A,+/-,K/D,ADR,HS%,KAST,Rating,EF,FA,EBT,UD,FKD,FK,FD,FK as T,FD as T,FK as CT,FD as CT,Trade K,Trade D,Trade FK,Trade FD,Trade FK as T,Trade FD as T,Trade FK as CT,Trade FD as CT,1vX,1v5,1v4,1v3,1v2,1v1,3K+,5K,4K,3K,2K,1K
3,79000003,7656119832363721,6,0,1,19,21,7,-2,0.90,90.6,37%,73.1%,1.12,8,0,19.7s,120,-1,4,5,4,3,0,2,1,4,0,2,0,1,0,1,1,0,0,0,0,1,1,0,0,1,2,12
4,79000003,7656119803501736,6,0,1,14,20,4,-6,0.70,71.9,29%,61.5%,0.82,14,1,32.7s,249,-6,0,6,0,2,0,4,3,3,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,2,7
5,79000003,7656119814982397,6,0,2,26,21,6,5,1.20,101.8,15%,84.6%,1.47,6,0,13.7s,4,4,5,1,3,0,2,1,6,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,11
6,79000003,7656119831891757,,0,2,26,22,6,4,1.20,104.2,42%,73.1%,1.37,37,3,104.2s,39,3,3,0,2,0,1,0,5,6,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,8,10
7,79000003,7656119805858403,7,0,2,20,22,4,-2,0.90,84.1,60%,57.7%,0.99,20,1,58.1s,15,1,5,4,1,2,4,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,3,8
8,79000003,7656119884779448,6,0,2,11,21,6,-10,0.50,64.9,36%,69.2%,0.74,15,1,23.6s,63,-3,1,4,1,2,0,2,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,9
9,79000003,7656119812136167,2,0,2,8,21,4,-13,0.40,37.6,25%,42.3%,0.35,7,0,17.5s,88,-1,1,2,0,0,1,2,1,3,0,0,0,0,0,0,2,0,0,0,1,1,1,0,0,1,1,3
0,79000002,7656119805996504,15,1,1,37,16,5,21,2.30,177.7,54%,91.3%,2.35,10,0,39.7s,112,12,12,0,6,0,6,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,5,3,11
1,79000002,7656119803011145,13,1,1,20,13,3,7,1.50,81.6,10%,78.3%,1.37,6,1,10.6s,28,1,1,0,1,0,0,0,6,2,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,2,3,8
2,79000002,7656119801156914,13,1,1,18,15,8,3,1.20,96.3,39%,87%,1.38,14,0,42.3s,0,-1,1,2,1,1,0,1,3,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,7
3,79000002,7656119804625662,14,0,1,15,16,3,-1,0.90,58.1,40%,73.9%,1.00,0,0,0s,13,0,3,3,2,3,1,0,3,6,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,3,9
4,79000002,7656119808331282,12,1,1,10,11,3,-1,0.90,34.6,10%,69.6%,0.82,1,0,5.2s,51,-1,0,1,0,1,0,0,4,2,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,2,6
5,79000002,7656119796282538,13,0,2,16,21,4,-5,0.80,71.1,44%,56.5%,0.84,5,0,15.3s,179,-5,3,8,0,4,3,4,3,4,1,2,0,1,1,1,0,0,0,0,0,0,2,0,0,2,2,6
6,79000002,7656119898522743,9,0,2,14,18,2,-4,0.80,68.9,21%,60.9%,0.85,26,3,79.2s,67,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,2,1,1,0,0,1,3,5
7,79000002,7656119820565807,16,0,2,16,20,3,-4,0.80,75.5,25%,73.9%,1.00,25,0,47.8s,181,-1,2,3,1,2,1,1,4,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,11
8,79000002,7656119911953454,10,0,2,11,20,4,-9,0.60,60,36%,47.8%,0.57,6,0,16.1s,0,-3,1,4,0,0,1,4,0,2,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,2,3
9,79000002,7656119798698316,13,0,2,14,21,3,-7,0.70,74.1,14%,65.2%,0.83,0,0,0s,147,-2,0,2,0,1,0,1,2,3,2,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,2,10
0,79000001,7656119833399431,8,0,1,21,17,4,4,1.20,97.6,38%,68.2%,1.31,10,0,25.4s,126,2,3,1,2,1,1,0,4,1,1,0,0,0,1,0,2,0,0,0,1,1,1,0,0,1,5,8
1,79000001,7656119898224632,7,0,1,12,18,6,-6,0.70,74,33%,59.1%,0.80,20,0,32.9s,110,-3,2,5,1,3,1,2,2,3,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,3,3
2,79000001,7656119896364190,6,0,1,13,19,1,-6,0.70,61.4,62%,68.2%,0.82,14,1,28.2s,109,-1,1,2,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7
3,79000001,7656119909923480,8,0,1,13,20,3,-7,0.70,71.8,8%,63.6%,0.80,6,0,22.3s,0,0,2,2,1,1,1,1,3,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,7
4,79000001,7656119822988501,7,0,1,7,20,4,-13,0.40,43.2,14%,54.5%,0.41,11,0,26.4s,5,-2,1,3,1,2,0,1,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5
5,79000001,7656119915185508,8,0,2,37,12,4,25,3.10,137.5,22%,81.8%,2.29,7,0,19.9s,0,2,2,0,1,0,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,3,5,6
6,79000001,7656119813825056,9,0,2,20,15,5,5,1.30,90.4,40%,90.9%,1.47,13,0,37.1s,41,2,4,2,2,0,2,2,0,6,0,1,0,0,0,1,1,0,0,0,0,1,3,0,0,3,3,5
7,79000001,7656119903265827,8,0,2,15,9,2,6,1.70,70.9,47%,77.3%,1.24,12,0,27s,117,2,2,0,0,0,2,0,6,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,3,6
8,79000001,7656119900250389,8,0,2,15,15,10,0,1.00,96,13%,81.8%,1.25,12,0,30s,74,0,4,4,0,2,4,2,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,9
9,79000001,7656119840261690,8,0,2,7,15,9,-8,0.50,51.7,29%,68.2%,0.68,19,0,45.3s,275,-2,1,3,1,1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
0,79000000,7656119916601647,4,0,1,17,19,6,-2,0.90,94,24%,66.7%,1.07,1,0,0.7s,28,-4,1,5,0,4,1,1,3,2,1,1,1,1,0,0,1,0,0,0,0,1,1,0,0,1,5,4
1,79000000,7656119914008402,7,0,1,16,19,7,-3,0.80,86.5,13%,62.5%,0.99,21,0,52.5s,299,2,4,2,2,2,2,0,2,3,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,2,8
2,79000000,7656119822018823,3,0,1,10,20,3,-10,0.50,51.5,10%,50%,0.52,2,0,6.9s,38,-5,0,5,0,2,0,3,2,5,0,2,0,1,0,1,1,0,0,1,0,0,1,1,0,0,1,3
3,79000000,7656119917979524,2,0,1,11,20,3,-9,0.60,48.8,9%,45.8%,0.52,0,0,0s,36,-3,0,3,0,2,0,1,4,3,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,2,4
4,79000000,7656119834332082,2,0,1,11,21,3,-10,0.50,54.5,73%,50%,0.55,0,0,0s,5,-4,0,4,0,3,0,1,5,3,3,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,2,7
5,79000000,7656119839413884,11,0,2,25,15,4,10,1.70,124.4,48%,83.3%,1.66,5,0,25.6s,0,8,10,2,4,2,6,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,4,11
6,79000000,7656119895046006,6,0,2,24,15,1,9,1.60,98.5,50%,87.5%,1.56,3,1,14.1s,75,2,2,0,0,0,2,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,4,10
7,79000000,7656119825842951,7,0,2,19,14,1,5,1.40,75.3,42%,83.3%,1.30,0,0,0s,1,0,1,1,1,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11
8,79000000,7656119825996583,6,1,2,13,8,1,5,1.60,46.3,31%,75%,1.06,7,0,5.4s,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,1,3,0,0,0,0,3,7
9,79000000,7656119820252568,4,1,2,17,15,7,2,1.10,91.2,47%,79.2%,1.25,0,0,0s,8,4,6,2,1,0,5,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11
