,Match ID,Player ID,Rank,Rank Gain,Team,K,D,A,+/-,K/D,ADR,HS%,KAST,Rating,EF,FA,EBT,UD,FKD,FK,FD,FK as T,FD as T,FK as CT,FD as CT,Trade K,Trade D,Trade FK,Trade FD,Trade FK as T,Trade FD as T,Trade FK as CT,Trade FD as CT,1vX,1v5,1v4,1v3,1v2,1v1,3K+,5K,4K,3K,2K,1K
0,79000029,7656119816058869,10,0,1,22,21,4,1,1.00,84.2,27%,65.4%,1.13,15,0,36.4s,16,-1,2,3,2,3,0,0,5,3,2,0,1,0,1,0,1,0,0,0,1,0,4,1,1,2,1,5
1,79000029,7656119801705756,13,0,1,22,20,5,2,1.10,95.7,27%,65.4%,1.19,24,0,73.9s,83,-4,3,7,1,3,2,4,1,3,0,3,0,2,0,1,0,0,0,0,0,0,3,0,1,2,3,6
2,79000029,7656119809281600,9,0,1,22,21,5,1,1.00,100.2,23%,73.1%,1.24,3,0,4.6s,2,0,1,1,0,1,1,0,4,4,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,7,8
3,79000029,7656119828107310,6,0,1,15,22,1,-7,0.70,59.1,20%,57.7%,0.73,9,0,22.8s,47,4,4,0,3,0,1,0,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9
4,79000029,7656119809227565,5,0,1,8,21,3,-13,0.40,36.4,25%,42.3%,0.34,0,0,0s,13,-3,1,4,0,2,1,2,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4
5,79000029,7656119819736458,4,0,2,27,15,3,12,1.80,92.4,30%,73.1%,1.50,7,0,13.3s,91,2,4,2,1,0,3,2,4,0,1,0,1,0,0,0,1,0,0,0,0,1,3,0,1,2,5,7
6,79000029,7656119825795426,9,0,2,25,16,7,9,1.60,104.4,40%,80.8%,1.52,5,0,5.7s,60,3,5,2,3,1,2,1,0,3,0,0,0,0,0,0,1,0,0,0,0,1,3,0,0,3,3,10
7,79000029,7656119887715551,8,0,2,18,19,3,-1,0.90,72.2,17%,65.4%,1.00,7,0,14s,4,2,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6
8,79000029,7656119897308724,9,0,2,17,20,5,-3,0.90,75,76%,73.1%,1.02,20,0,41.7s,64,-1,3,4,2,1,1,3,1,3,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,4,6
9,79000029,7656119801488676,14,1,2,15,19,7,-4,0.80,70.7,7%,61.5%,0.88,2,0,1.2s,156,-2,1,3,0,3,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,2,8
0,79000028,7656119897308724,9,0,1,32,20,12,12,1.60,117.3,56%,83.3%,1.66,30,0,70.1s,107,4,5,1,2,0,3,1,5,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,8,7
