,Match ID,Player ID,Rank,Rank Gain,Team,K,D,A,+/-,K/D,ADR,HS%,KAST,Rating,EF,FA,EBT,UD,FKD,FK,FD,FK as T,FD as T,FK as CT,FD as CT,Trade K,Trade D,Trade FK,Trade FD,Trade FK as T,Trade FD as T,Trade FK as CT,Trade FD as CT,1vX,1v5,1v4,1v3,1v2,1v1,3K+,5K,4K,3K,2K,1K
0,79000039,7656119843411981,13,0,1,25,15,3,10,1.70,76.6,64%,64.3%,1.28,51,0,104.8s,0,-2,3,5,3,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,2,4,7
1,79000039,7656119832361000,16,0,1,26,16,7,10,1.60,113.9,42%,85.7%,1.59,45,0,70s,2,5,5,0,2,0,3,0,1,2,0,0,0,0,0,0,1,0,0,0,0,1,3,0,0,3,3,11
2,79000039,7656119881869054,13,1,1,25,17,9,8,1.50,104.9,48%,75%,1.43,27,0,67.5s,66,1,2,1,1,1,1,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,6,10
3,79000039,7656119810648308,15,1,1,16,17,7,-1,0.90,77.7,19%,67.9%,1.01,19,1,55.4s,236,-1,2,3,0,1,2,2,2,2,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,2,9
4,79000039,7656119904330337,13,1,1,15,20,1,-5,0.80,42.3,27%,60.7%,0.73,35,2,74.1s,16,-5,1,6,1,2,0,4,1,2,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,4,4
5,79000039,7656119896567260,16,0,2,25,21,4,4,1.20,98.1,40%,67.9%,1.27,4,0,11.1s,0,4,5,1,4,0,1,1,1,3,0,0,0,0,0,0,1,0,0,0,0,1,4,0,0,4,3,7
6,79000039,7656119843573696,17,0,2,19,22,1,-3,0.90,75.5,37%,57.1%,0.90,20,0,31.1s,63,2,2,0,1,0,1,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,5,6
7,79000039,7656119839380340,17,0,2,19,21,1,-2,0.90,67.7,53%,60.7%,0.92,17,0,29.8s,107,3,3,0,1,0,2,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9
8,79000039,7656119821929036,17,0,2,12,22,5,-10,0.50,55.3,58%,50%,0.58,18,0,23.3s,194,-3,2,5,1,2,1,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,5
9,79000039,7656119904309095,16,0,2,10,21,4,-11,0.50,47.5,40%,46.4%,0.48,12,0,31.5s,91,-4,3,7,0,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,5
0,79000038,7656119916816000,12,0,1,20,20,0,0,1.00,90.7,40%,73.9%,1.19,15,0,28.6s,27,2,3,1,2,1,1,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10
1,79000038,7656119880672578,14,0,1,13,18,2,-5,0.70,64.7,31%,56.5%,0.77,13,0,27.1s,119,-3,0,3,0,2,0,1,4,1,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,2,6
2,79000038,7656119829008128,10,0,1,14,22,3,-8,0.60,78.9,43%,56.5%,0.76,5,0,5.7s,144,-1,0,1,0,1,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,3,2
3,79000038,7656119882671231,7,0,1,10,19,2,-9,0.50,53.5,40%,39.1%,0.47,2,0,5.4s,47,-1,0,1,0,1,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,5
