,Match ID,Player ID,Rank,Rank Gain,Team,K,D,A,+/-,K/D,ADR,HS%,KAST,Rating,EF,FA,EBT,UD,FKD,FK,FD,FK as T,FD as T,FK as CT,FD as CT,Trade K,Trade D,Trade FK,Trade FD,Trade FK as T,Trade FD as T,Trade FK as CT,Trade FD as CT,1vX,1v5,1v4,1v3,1v2,1v1,3K+,5K,4K,3K,2K,1K
4,79000038,7656119842311820,13,0,1,8,23,2,-15,0.30,45.1,50%,39.1%,0.27,5,0,13.3s,73,-10,2,12,1,7,1,5,2,3,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,3
5,79000038,7656119909163257,14,0,2,26,14,2,12,1.90,108.6,31%,95.7%,1.78,0,0,0s,9,3,3,0,2,0,1,0,4,5,0,0,0,0,0,0,1,0,0,0,0,1,3,0,0,3,4,9
6,79000038,7656119904630264,11,0,2,27,16,2,11,1.70,125.3,44%,78.3%,1.70,2,0,6.6s,214,5,7,2,2,2,5,0,4,2,1,1,0,1,1,0,0,0,0,0,0,0,2,0,0,2,7,7
7,79000038,7656119880102810,11,0,2,19,12,4,7,1.60,90.8,32%,69.6%,1.32,2,0,4.5s,53,4,6,2,2,0,4,2,2,2,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,2,4,5
8,79000038,7656119888637874,14,0,2,17,14,1,3,1.20,74.8,35%,87%,1.26,12,0,19.7s,104,0,1,1,0,0,1,1,4,5,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,5,7
9,79000038,7656119902854904,12,0,2,13,11,3,2,1.20,49.2,15%,78.3%,1.04,0,0,0s,0,1,1,0,0,0,1,0,2,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,9
0,79000037,7656119834710877,13,1,1,33,14,6,19,2.40,138,15%,76%,1.93,8,1,21.5s,41,1,4,3,1,1,3,2,4,1,2,0,2,0,0,0,2,0,0,0,2,0,5,0,1,4,6,5
1,79000037,7656119799463231,11,0,1,19,18,3,1,1.10,68.1,42%,60%,1.01,14,0,30.1s,76,-2,1,3,1,2,0,1,6,3,1,1,1,1,0,0,1,0,0,0,0,1,3,0,1,2,2,5
2,79000037,7656119805358549,8,0,1,20,16,5,4,1.30,85.7,35%,84%,1.33,7,0,14.6s,62,1,2,1,1,1,1,0,1,6,0,1,0,1,0,0,4,0,0,0,2,2,2,0,0,2,2,10
3,79000037,7656119823582884,7,1,1,12,16,3,-4,0.80,57.6,33%,68%,0.83,4,0,8.2s,72,-1,2,3,1,2,1,1,1,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,6
4,79000037,7656119804490928,7,0,1,16,20,4,-4,0.80,66.2,38%,76%,0.98,21,0,36.2s,3,2,4,2,3,2,1,0,5,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,12
5,79000037,7656119800959459,14,0,2,26,19,5,7,1.40,107.7,42%,76%,1.48,14,1,32.8s,158,1,2,1,1,0,1,1,0,2,0,0,0,0,0,0,1,0,0,0,0,1,2,0,1,1,5,9
6,79000037,7656119897308724,9,-1,2,17,22,5,-5,0.80,84.4,65%,60%,0.92,18,0,47.1s,0,0,4,4,2,1,2,3,0,2,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,2,2,7
7,79000037,7656119827229626,7,0,2,14,18,0,-4,0.80,61.4,43%,56%,0.77,10,0,16.3s,13,-1,1,2,0,2,1,0,2,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,3,8
8,79000037,7656119813981532,,0,2,15,21,2,-6,0.70,75.6,40%,48%,0.74,8,0,17.8s,112,-1,2,3,1,2,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,6
9,79000037,7656119811870966,8,0,2,11,20,5,-9,0.60,54.9,45%,60%,0.65,18,0,31.6s,47,0,3,3,0,1,3,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
0,79000036,7656119816397140,12,-1,1,19,20,7,-1,1.00,105.9,53%,69.6%,1.20,19,1,52.2s,235,3,5,2,4,2,1,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7
1,79000036,7656119886923661,12,-1,1,14,19,2,-5,0.70,75.5,50%,43.5%,0.72,1,0,4s,116,3,3,0,1,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1,6
2,79000036,7656119898984418,12,0,1,12,18,1,-6,0.70,61,67%,43.5%,0.62,15,1,39.5s,44,-3,0,3,0,2,0,1,4,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,3,3
3,79000036,7656119843612074,12,0,1,12,19,3,-7,0.60,52.4,17%,60.9%,0.70,1,0,2s,24,-4,1,5,1,3,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,5
4,79000036,7656119903375368,12,0,1,11,21,0,-10,0.50,48.7,27%,52.2%,0.53,5,0,17s,58,-2,1,3,1,1,0,2,1,3,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,2,7
5,79000036,7656119909163257,14,0,2,27,15,3,12,1.80,104,22%,82.6%,1.69,2,0,6.6s,0,5,8,3,4,0,4,3,3,2,1,0,1,0,0,0,1,0,0,0,0,1,2,0,0,2,5,11
6,79000036,7656119821450081,12,0,2,23,13,3,10,1.80,92,61%,73.9%,1.48,16,0,53.3s,8,0,2,2,0,1,2,1,5,2,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,2,5,7
7,79000036,7656119880102810,11,0,2,21,14,2,7,1.50,98,33%,82.6%,1.46,15,0,15.8s,189,1,2,1,1,1,1,0,1,2,0,1,0,1,0,0,0,0,0,0,0,0,3,0,0,3,1,10
8,79000036,7656119811227315,13,0,2,15,12,3,3,1.30,73.9,60%,82.6%,1.21,2,0,6.6s,55,-2,1,3,0,0,1,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11
9,79000036,7656119885254000,11,0,2,10,14,3,-4,0.70,55.1,50%,73.9%,0.85,2,0,2.1s,30,-1,0,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,5
0,79000035,7656119805103032,11,0,1,21,14,4,7,1.50,113,62%,76.2%,1.52,18,0,52.7s,296,0,3,3,2,3,1,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,4,0,0,4,2,5
1,79000035,7656119836921426,11,0,1,20,13,2,7,1.50,91.4,30%,71.4%,1.39,2,0,5s,49,-1,1,2,0,2,1,0,5,3,1,1,1,1,0,0,1,0,0,0,1,0,4,0,0,4,2,4
2,79000035,7656119838904370,11,0,1,19,13,2,6,1.50,88.7,95%,85.7%,1.44,3,0,4.1s,61,2,3,1,3,1,0,0,2,5,0,0,0,0,0,0,2,0,0,0,1,1,1,0,0,1,4,8
3,79000035,7656119844491076,12,0,1,13,12,3,1,1.10,59.4,23%,76.2%,1.06,8,0,16.1s,256,3,4,1,1,1,3,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9
4,79000035,7656119802644760,11,0,1,11,13,2,-2,0.80,70.1,36%,71.4%,0.95,5,0,4.2s,15,-1,1,2,0,2,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
5,79000035,7656119815845603,12,0,2,22,17,3,5,1.30,134,32%,61.9%,1.44,10,0,26s,80,-2,1,3,0,1,1,2,3,1,1,0,0,0,1,0,1,0,0,0,1,0,3,0,1,2,2,8
6,79000035,7656119815393201,12,0,2,16,17,2,-1,0.90,75.4,63%,66.7%,1.03,17,0,50.3s,242,0,2,2,0,2,2,0,4,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,2,8
7,79000035,7656119808152765,11,0,2,12,13,1,-1,0.90,49,25%,42.9%,0.70,9,0,18.8s,0,0,3,3,0,1,3,2,2,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,2,5
8,79000035,7656119910631653,12,0,2,12,18,4,-6,0.70,68.5,25%,66.7%,0.83,11,0,25.5s,268,1,3,2,0,1,3,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8
9,79000035,7656119811820583,10,0,2,3,20,2,-17,0.20,34.5,0%,42.9%,0.11,4,0,17.6s,213,-2,0,2,0,1,0,1,0,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
0,79000034,7656119907305435,4,1,1,21,13,6,8,1.60,147.8,62%,87.5%,1.92,10,0,22.9s,36,2,3,1,0,0,3,1,2,1,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,2,4,7
1,79000034,7656119797020495,6,0,1,10,10,5,0,1.00,74.8,20%,62.5%,1.00,1,0,3.5s,63,-2,2,4,2,2,0,2,3,2,0,2,0,2,0,0,1,0,0,1,0,0,1,0,1,0,0,6
2,79000034,7656119806094292,2,0,1,13,12,0,1,1.10,64.3,31%,75%,1.12,2,0,4.9s,5,1,2,1,1,1,1,0,2,1,1,1,1,1,0,0,2,0,0,0,0,2,0,0,0,0,2,9
3,79000034,7656119797559030,4,0,1,9,13,2,-4,0.70,71.3,33%,56.3%,0.77,24,3,66.6s,27,-2,0,2,0,1,0,1,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
4,79000034,7656119811806830,3,0,1,7,12,4,-5,0.60,57.8,43%,68.8%,0.76,1,0,3.3s,3,1,1,0,1,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,5
5,79000034,7656119806138629,6,-1,2,20,10,2,10,2.00,104.5,45%,75%,1.71,14,0,30.8s,6,-2,0,2,0,1,0,1,3,1,0,0,0,0,0,0,2,0,0,1,1,0,4,0,1,3,1,5
6,79000034,7656119804631740,6,0,2,13,12,2,1,1.10,89.4,54%,62.5%,1.13,3,0,9.3s,35,-2,1,3,1,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,4
7,79000034,7656119844499256,1,0,2,11,11,3,0,1.00,70.3,18%,75%,1.09,5,2,14.7s,0,3,3,0,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,7
8,79000034,7656119816057255,1,0,2,6,12,3,-6,0.50,55.1,50%,62.5%,0.64,4,0,12.5s,64,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
9,79000034,7656119827744680,5,0,2,8,15,6,-7,0.50,83,38%,68.8%,0.81,8,0,14.7s,100,1,4,3,1,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
0,79000033,7656119844491076,12,0,1,18,21,4,-3,0.90,87.7,28%,64%,1.01,3,0,7.5s,36,-4,3,7,3,6,0,1,0,5,0,3,0,2,0,1,0,0,0,0,0,0,2,0,1,1,3,5
1,79000033,7656119894551861,12,0,1,20,21,4,-1,1.00,91.1,55%,68%,1.12,19,0,40.3s,226,1,3,2,1,0,2,2,4,5,2,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,5,10
2,79000033,7656119820264062,12,0,1,18,21,3,-3,0.90,72.4,39%,64%,0.95,14,0,31.2s,66,-2,1,3,1,2,0,1,6,5,1,1,0,1,1,0,2,0,0,0,1,1,2,0,0,2,2,8
3,79000033,7656119826792395,12,0,1,14,21,4,-7,0.70,72.5,57%,48%,0.70,0,0,0s,36,-1,1,2,0,1,1,1,4,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,2,7
4,79000033,7656119834205192,11,0,1,12,21,1,-9,0.60,40.1,42%,44%,0.49,6,0,13.6s,49,-1,1,2,1,0,0,2,4,3,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,6
5,79000033,7656119835332964,12,0,2,26,17,4,9,1.50,111,27%,84%,1.59,18,0,55.6s,115,0,2,2,1,1,1,1,5,3,0,0,0,0,0,0,1,0,0,0,0,1,3,0,0,3,4,9
6,79000033,7656119838694533,12,0,2,23,15,3,8,1.50,87.6,30%,76%,1.39,13,0,45.3s,48,2,2,0,1,0,1,0,4,1,1,0,1,0,0,0,2,0,0,0,0,2,1,0,0,1,5,10
7,79000033,7656119812258186,12,0,2,23,17,5,6,1.40,109,52%,72%,1.40,0,0,0s,20,4,6,2,3,1,3,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,5,10
8,79000033,7656119802785218,12,0,2,18,15,4,3,1.20,66.8,39%,72%,1.13,8,0,26.8s,173,1,2,1,2,0,0,1,3,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,12
9,79000033,7656119814686396,11,1,2,15,18,3,-3,0.80,65.1,20%,68%,0.92,2,0,8.8s,0,0,4,4,0,1,4,3,0,3,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,2,8
0,79000032,7656119893012675,13,0,1,18,17,3,1,1.10,79.9,28%,62.5%,1.06,16,0,41s,166,2,3,1,2,0,1,1,1,3,0,0,0,0,0,0,1,0,0,1,0,0,2,0,1,1,2,7
1,79000032,7656119894551861,12,0,1,18,19,2,-1,0.90,83.8,44%,70.8%,1.09,10,1,17.2s,285,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,11
2,79000032,7656119829216337,11,0,1,17,19,3,-2,0.90,83.2,35%,62.5%,0.99,4,1,6.9s,1,2,4,2,3,2,1,0,4,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,3,8
3,79000032,7656119820264062,12,0,1,18,21,2,-3,0.90,89.6,44%,70.8%,1.06,9,1,21s,86,2,4,2,3,1,1,1,2,4,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,4,7
4,79000032,7656119844491076,12,0,1,9,22,2,-13,0.40,40.5,11%,50%,0.40,13,0,24.9s,34,-4,2,6,0,4,2,2,3,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,7
5,79000032,7656119895834726,12,0,2,25,15,2,10,1.70,103.1,40%,75%,1.52,8,0,18.3s,30,-1,1,2,1,2,0,0,3,3,1,0,1,0,0,0,0,0,0,0,0,0,3,0,1,2,4,7
6,79000032,7656119896446645,12,0,2,22,13,3,9,1.70,103.3,41%,83.3%,1.53,13,0,32.9s,28,4,4,0,3,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,5,9
7,79000032,7656119904119636,12,0,2,21,17,2,4,1.20,77.2,48%,58.3%,1.13,1,0,3.8s,0,-2,2,4,0,0,2,4,3,1,1,0,0,0,1,0,2,0,0,1,0,1,2,0,1,1,3,8
8,79000032,7656119911662917,12,0,2,18,18,2,0,1.00,81,50%,75%,1.13,9,0,23.7s,4,0,4,4,0,2,4,2,3,4,1,2,1,1,0,1,0,0,0,0,0,0,2,0,0,2,2,8
9,79000032,7656119905296906,12,1,2,10,18,3,-8,0.60,55.4,50%,66.7%,0.70,10,2,39.3s,0,-3,0,3,0,1,0,2,1,2,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,7
0,79000031,7656119827405215,11,0,1,29,18,4,11,1.60,105.3,34%,71.4%,1.50,9,0,27.3s,116,3,5,2,2,1,3,1,5,2,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,2,6,6
1,79000031,7656119816948419,12,0,1,29,20,5,9,1.50,100.3,48%,75%,1.47,27,0,74.2s,335,2,6,4,4,3,2,1,3,2,0,0,0,0,0,0,2,0,0,0,1,1,2,0,0,2,7,9
2,79000031,7656119813003722,11,0,1,18,16,2,2,1.10,72.6,17%,75%,1.11,25,0,49.5s,7,-1,0,1,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8
3,79000031,7656119813976141,11,0,1,16,17,4,-1,0.90,53.9,38%,75%,0.97,9,0,22.8s,153,-4,0,4,0,2,0,2,4,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,10
4,79000031,7656119819988722,12,0,1,15,21,9,-6,0.70,81.6,40%,71.4%,0.95,5,0,11.7s,89,0,3,3,1,2,2,1,2,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,9
5,79000031,7656119880102810,11,0,2,24,22,4,2,1.10,97.8,83%,60.7%,1.16,5,0,8.8s,26,2,7,5,3,3,4,2,1,2,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,0,3,9
6,79000031,7656119909806330,11,0,2,25,18,2,7,1.40,83.9,44%,67.9%,1.27,2,0,2.5s,145,1,3,2,2,1,1,1,3,1,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,2,5,9
7,79000031,7656119885670956,11,0,2,18,21,7,-3,0.90,76.5,28%,71.4%,1.02,15,0,35.3s,34,2,2,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,7
8,79000031,7656119898073350,11,0,2,14,22,2,-8,0.60,56.9,21%,53.6%,0.66,7,0,12.8s,124,-2,2,4,1,1,1,3,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,8
9,79000031,7656119885254000,11,0,2,10,24,6,-14,0.40,51.3,10%,53.6%,0.49,17,2,34s,156,-3,0,3,0,2,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
0,79000030,7656119902515895,13,0,1,24,14,1,10,1.70,87.4,50%,72%,1.41,19,0,24.3s,0,3,3,0,1,0,2,0,5,2,1,0,0,0,1,0,1,0,0,0,0,1,2,0,0,2,6,6
1,79000030,7656119881372977,14,1,1,21,15,4,6,1.40,96.9,29%,72%,1.33,23,0,69.6s,271,0,1,1,1,1,0,0,4,2,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,6,6
2,79000030,7656119901338596,16,0,1,20,16,3,4,1.30,85.6,65%,80%,1.29,8,0,11.8s,17,-5,2,7,1,4,1,3,2,3,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,2,3,8
3,79000030,7656119924725458,15,0,1,17,15,4,2,1.10,80.5,47%,76%,1.17,18,0,40.4s,316,2,3,1,2,1,1,0,1,2,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,3,8
4,79000030,7656119842142096,13,0,1,13,19,6,-6,0.70,65.8,69%,68%,0.84,44,1,86.7s,379,-5,1,6,1,3,0,3,1,4,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,3,4
5,79000030,7656119841700279,16,0,2,19,18,1,1,1.10,82.4,26%,64%,1.08,14,0,40.5s,0,0,1,1,0,0,1,1,5,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7
6,79000030,7656119821929036,17,0,2,17,21,2,-4,0.80,74.8,35%,52%,0.83,1,0,0.8s,124,-1,4,5,1,2,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,6
7,79000030,7656119904309095,16,0,2,16,20,2,-4,0.80,70.6,63%,68%,0.93,2,0,5s,167,4,5,1,2,0,3,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,7
8,79000030,7656119914854715,16,0,2,15,19,1,-4,0.80,52.7,40%,68%,0.85,18,0,40.6s,76,2,4,2,2,1,2,1,4,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,9
9,79000030,7656119839380340,17,0,2,12,17,5,-5,0.70,66.7,42%,64%,0.82,23,1,45.5s,91,0,1,1,1,1,0,0,3,3,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,7
