,Match ID,Player ID,Rank,Rank Gain,Team,K,D,A,+/-,K/D,ADR,HS%,KAST,Rating,EF,FA,EBT,UD,FKD,FK,FD,FK as T,FD as T,FK as CT,FD as CT,Trade K,Trade D,Trade FK,Trade FD,Trade FK as T,Trade FD as T,Trade FK as CT,Trade FD as CT,1vX,1v5,1v4,1v3,1v2,1v1,3K+,5K,4K,3K,2K,1K
0,79000019,7656119804382024,8,1,1,9,2,1,7,4.50,61.8,22%,100%,1.76,0,0,0s,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,2,2
1,79000019,7656119798811235,10,0,1,10,4,3,6,2.50,113,60%,88.9%,1.84,5,1,19.3s,55,1,1,0,1,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,4
2,79000019,7656119887789535,11,1,1,12,7,4,5,1.70,155.6,58%,100%,2.08,3,0,15.1s,22,2,3,1,3,1,0,0,1,3,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,3,3
3,79000019,7656119811792598,9,0,1,6,4,1,2,1.50,74.2,50%,66.7%,1.14,0,0,0s,80,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
4,79000019,7656119814446810,9,0,1,6,8,2,-2,0.80,72.3,17%,66.7%,0.91,2,0,3s,0,1,2,1,2,0,0,1,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
5,79000019,7656119818472565,9,0,2,8,9,0,-1,0.90,86.1,25%,55.6%,0.98,0,0,0s,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2
6,79000019,7656119822903624,10,0,2,6,9,2,-3,0.70,74.7,50%,55.6%,0.78,4,0,4.4s,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
7,79000019,7656119816333012,9,0,2,4,9,0,-5,0.40,75.7,0%,33.3%,0.40,4,0,11.5s,26,0,0,0,0,0,0,0,2,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,2
8,79000019,7656119821197552,8,0,2,3,9,1,-6,0.30,51.6,33%,55.6%,0.40,2,1,6.2s,0,-2,2,4,1,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
9,79000019,7656119897496713,8,0,2,2,9,1,-7,0.20,41.8,50%,55.6%,0.28,0,0,0s,0,-3,0,3,0,0,0,3,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2
0,79000017,7656119882455042,8,0,✪,13,18,2,-5,0.70,78.8,31%,63.2%,0.88,13,0,25.1s,0,0,3,3,2,3,1,0,0,4,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,2,1,5
1,79000017,7656119820930677,8,0,✪,11,17,3,-6,0.60,70.6,45%,52.6%,0.72,13,1,35.7s,11,0,2,2,2,2,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,5
2,79000017,7656119835808550,8,0,✪,8,19,4,-11,0.40,51.6,50%,57.9%,0.51,4,0,16.2s,92,-2,0,2,0,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6
3,79000017,7656119804849501,8,0,✪,5,17,3,-12,0.30,38.2,0%,47.4%,0.30,2,0,4.2s,0,-5,0,5,0,4,0,1,3,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
4,79000017,7656119904027984,7,0,✪,5,17,0,-12,0.30,50.4,20%,31.6%,0.21,2,0,5s,1,-2,0,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
5,79000017,7656119815446156,9,0,2,21,7,4,14,3.00,102.2,10%,89.5%,1.83,5,0,9.8s,13,1,2,1,1,1,1,0,4,2,0,1,0,1,0,0,0,0,0,0,0,0,2,0,1,1,4,6
6,79000017,7656119916013890,8,0,2,19,8,3,11,2.40,109.1,37%,84.2%,1.69,10,0,16.7s,241,3,3,0,1,0,2,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,3,1,4
7,79000017,7656119813041826,9,0,2,19,6,2,13,3.20,99.2,63%,84.2%,1.71,26,0,70.7s,159,0,1,1,0,0,1,1,3,0,1,0,0,0,1,0,1,0,0,1,0,0,2,0,1,1,3,6
8,79000017,7656119897308724,9,0,2,17,12,2,5,1.40,82.7,29%,89.5%,1.44,12,0,28.2s,14,1,2,1,0,0,2,1,3,8,1,1,1,0,0,1,0,0,0,0,0,0,2,0,1,1,1,8
