,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
216,Sat 2nd Jul 22,,de_mirage,16:7,,,13,16,7,-3,46,77,0,0,0,0,0,0,0,0,1,View Match
217,Fri 1st Jul 22,,de_mirage,11:16,,,15,18,4,-3,27,69,0,0,0,1,0,0,1,0,0.89,View Match
218,Fri 1st Jul 22,,de_cache,6:16,,,22,16,2,6,32,103,0,0,0,0,0,0,0,1,1.38,View Match
219,Thu 30th Jun 22,,de_mirage,10:16,,,21,18,1,3,33,54,0,0,0,1,1,0,0,2,1,View Match
220,Sun 26th Jun 22,,de_mirage,16:14,,,24,18,5,6,46,85,0,0,0,0,0,0,0,2,1.34,View Match
221,Sun 26th Jun 22,,de_dust2,3:16,,,14,18,1,-4,36,91,0,0,0,0,0,0,1,0,0.96,View Match
222,Sat 25th Jun 22,,de_dust2,16:10,,,19,22,4,-3,47,96,0,0,0,0,2,0,0,1,1.02,View Match
223,Sat 25th Jun 22,,de_overpass,6:16,,,17,19,1,-2,41,77,0,0,0,0,0,0,0,0,1.03,View Match
224,Sat 25th Jun 22,,cs_office,2:16,,,6,17,1,-11,50,40,0,0,0,0,0,0,0,0,0.18,View Match
225,Sat 25th Jun 22,,de_mirage,14:16,,,20,21,0,-1,45,77,0,0,0,0,0,0,0,1,1.03,View Match
226,Sat 25th Jun 22,,de_mirage,10:16,,,16,24,5,-8,38,75,0,0,0,0,1,0,1,0,0.85,View Match
227,Tue 21st Jun 22,,de_inferno,16:11,,,17,19,5,-2,53,73,0,0,0,1,0,0,0,1,0.92,View Match
228,Mon 20th Jun 22,,de_dust2,13:16,,,11,22,3,-11,36,44,0,0,0,0,0,0,0,0,0.54,View Match
229,Mon 20th Jun 22,,de_dust2,15:15,,,17,20,3,-3,65,52,0,0,0,0,0,0,0,1,0.91,View Match
230,Mon 20th Jun 22,,de_dust2,16:8,,,9,13,4,-4,67,52,0,0,0,0,1,0,0,0,0.84,View Match
231,Mon 20th Jun 22,,de_dust2,16:12,,,12,20,1,-8,42,48,0,0,0,0,0,0,0,0,0.66,View Match
232,Sun 19th Jun 22,,de_mirage,12:16,,,13,24,6,-11,31,53,0,0,0,1,0,0,0,1,0.7,View Match
233,Sun 19th Jun 22,,de_dust2,3:16,,,2,18,1,-16,50,28,0,0,0,0,0,0,0,0,-0.1,View Match
234,Sun 19th Jun 22,,de_dust2,16:11,,,7,16,1,-9,57,29,0,0,0,0,1,0,0,0,0.59,View Match
235,Thu 1st Mar 18,,de_dust2,16:12,,,21,17,5,4,43,76,0,0,0,1,0,0,0,2,1.13*,View Match
236,Fri 5th May 17,,de_mirage,6:16,,,11,19,3,-8,27,60,0,0,0,0,0,0,0,0,0.58*,View Match
